x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
656.957,965.07,490.942,1043.976,873.104,273.409,674.324,43.668,992.784,731.32,710.332,101.208,762.892,107.071,390.075,1009.552,733.448,523.137
654.029,964.544,491.128,1044.159,869.451,266.321,671.106,44.353,991.418,736.926,704.85,97.711,762.358,105.091,398.557,1012.979,730.244,531.358
651.748,964.682,491.086,1044.263,865.837,257.491,668.478,43.209,988.916,743.794,699.864,92.334,760.372,103.792,408.257,1015.571,727.063,539.032
651.178,964.362,490.811,1044.059,863.583,250.492,666.943,42.615,987.72,748.399,700.312,90.492,758.116,102.572,417.108,1020.218,721.279,550.731
649.849,963.864,491.045,1044.136,862.791,242.485,662.788,41.576,985.007,751.329,696.157,90.423,756.052,100.785,423.244,1021.593,717.898,560.869
648.168,964.951,491.055,1044.042,860.584,233.562,655.938,41.607,981.717,754.18,694.876,91.296,755.938,100.546,428.604,1023.345,712.856,570.169
646.958,966.242,491.436,1043.894,858.863,226.679,653.023,41.087,981.108,755.374,697.522,91.345,756.576,100.47,433.606,1024.377,709.876,576.32
646.625,966.232,491.569,1043.789,857.052,218.354,650.565,39.594,979.356,758.156,695.565,91.884,756.255,99.751,434.339,1025.009,705.472,584.354
646.278,966.902,491.545,1043.646,856.203,212.416,647.196,39.217,975.706,764.63,694.729,93.074,759.464,99.051,434.331,1025.045,703.377,593.581
645.514,966.638,491.757,1043.579,855.849,206.943,642.016,38.676,973.073,771.327,698.019,92.85,761.414,98.647,434.663,1024.702,703.235,599.466
645.083,966.821,491.193,1043.711,853.927,200.727,640.334,37.13,972.28,777.759,701.691,93.311,761.426,95.328,438.19,1024.786,700.814,608.447
643.835,967.107,491.574,1043.716,852.501,196.479,631.804,35.128,967.503,786.032,703.296,94.004,760.856,92.601,441.078,1024.809,700.214,619.467
643.568,967.575,494.884,1045.504,848.448,189.89,624.294,35.506,965.142,790.639,703.794,94.333,761.867,91.307,441.786,1024.615,697.176,631.285
639.77,969.347,497.014,1049.189,840.865,180.021,622.36,37.843,960.178,797.778,705.179,94.389,760.515,90.31,441.607,1025.248,696.863,636.858
639.044,970.193,500.431,1048.181,834.523,175.099,622.426,36.111,958.964,800.142,704.929,94.712,757.914,90.488,441.73,1025.849,694.786,646.584
638.461,970.516,498.993,1048.573,829.153,168.635,620.093,34.321,958.614,801.079,704.888,95.551,755.014,90.385,441.83,1026.396,694.404,651.608
637.701,971.071,494.836,1046.963,824.637,161.778,613.033,34.294,957.342,803.254,704.967,96.423,754.158,91.457,441.802,1026.297,694.254,654.647
637.899,971.115,493.818,1045.913,818.421,154.088,609.578,34.529,951.21,810.243,704.785,96.506,753.983,91.78,441.413,1026.046,694.858,657.264
637.823,971.155,493.235,1045.487,812.973,149.648,608.985,34.227,947.544,814.355,704.864,96.333,753.357,91.562,441.24,1025.526,693.993,663.219
637.986,971.635,492.775,1045.27,808.98,143.49,608.989,33.894,944.058,821.124,704.344,96.249,752.183,91.396,441.445,1025.836,692.807,666.492
638.048,971.912,492.877,1045.302,806.649,140.282,609.054,33.553,939.456,827.553,702.19,96.127,752.018,91.543,441.413,1025.663,691.196,671.379
637.433,971.718,492.875,1045.18,805.387,139.062,609.062,33.492,936.582,834.225,697.41,96.569,750.912,91.054,441.625,1025.763,687.94,674.687
638.376,971.76,492.385,1045.171,801.645,137.566,608.646,33.394,931.358,840.611,691.612,95.873,750.894,91.093,441.022,1025.745,685.009,678.419
637.848,972.117,492.521,1045.137,797.87,134.963,608.696,33.558,929.561,844.463,691.49,95.275,750.584,90.902,440.474,1026.298,678.843,683.31
637.747,971.95,491.669,1045.125,795.09,132.248,608.612,33.301,925.027,847.873,692.878,94.571,750.792,91.067,438.555,1025.719,672.883,688.841
636.607,971.77,492.388,1045.495,795.026,133.014,607.536,31.47,921.287,851.983,694.089,94.038,750.465,90.82,436.635,1026.019,666.568,693.517
636.692,972.051,492.009,1045.451,797.453,134.763,607.697,29.935,917.407,856.044,692.75,92.288,748.77,87.923,435.251,1026.128,659.374,699.758
637.428,972.109,491.608,1045.291,796.182,133.887,604.242,29.204,913.246,860.535,690.218,92.108,747.267,84.944,434.125,1025.973,655.151,702.163
636.912,972.047,491.742,1045.371,792.842,131.044,603.629,29.014,910.724,864.793,689.114,93.347,745.374,85.019,433.621,1026.112,648.855,708.922
636.908,972.019,492.15,1045.075,793.102,130.283,602.58,28.207,907.491,867.932,689.117,94.655,745.162,85.731,433.266,1026.07,642.795,715.547
636.071,972.036,492.252,1045.189,791.866,128.137,600.703,28.133,906.021,869.564,689.068,97.962,744.047,85.675,433.225,1025.802,636.514,722.008
636.375,972.182,492.115,1045.129,792.109,127.511,597.74,27.369,903.69,870.987,690.514,98.987,744.849,86.877,433.452,1025.912,632.306,725.074
637.194,972.195,492.328,1045.076,792.677,127.387,595.683,26.838,901.661,873.098,691.596,101.274,744.16,86.466,433.258,1025.99,628.827,727.706
636.53,972.178,492.738,1045.235,794.443,129.035,592.088,26.447,901.069,873.872,690.956,104.109,743.575,85.757,432.772,1025.301,626.991,729.1
636.331,972.068,492.418,1045.015,794.48,128.71,589.646,26.67,900.098,875.388,690.834,108.755,742.664,87.579,433.161,1025.583,625.736,728.817
636.227,972.258,492.611,1044.988,795.141,129.021,587.018,27.113,899.695,875.648,692.355,110.202,740.784,89.41,432.939,1025.332,625.553,727.957
636.307,972.11,492.517,1044.777,798.801,130.345,584.641,28.271,898.916,875.93,693.978,110.864,736.747,88.527,433.002,1025.295,625.488,728.053
636.601,972.188,492.449,1044.826,799.829,128.405,581.562,28.962,899.137,875.539,698.057,117.246,733.869,87.186,433.108,1025.341,625.427,727.78
636.498,972.123,492.519,1044.659,799.197,124.038,581.812,28.976,899.125,875.052,700.306,122.734,731.866,87.109,433.149,1025.545,625.663,726.515
635.962,972.203,492.059,1044.786,796.87,115.99,581.427,28.748,899.23,874.985,704.565,125.311,731.927,85.927,433.087,1025.221,625.743,726.207
636.592,972.135,492.549,1044.726,792.172,109.898,580.848,27.567,898.502,875.76,709.214,126.814,731.515,84.614,433.259,1025.276,625.814,726.294
636.718,972.063,491.757,1044.692,789.495,107.698,577.126,26.778,898.877,874.972,711.295,128.732,731.59,84.027,433.106,1025.314,625.939,725.301
