x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
576.153,1054.841,283.277,992.059,869.219,921.912,70.846,781.764,1032.418,632.155,19.643,506.883,1018.099,360.470,110.393,242.145,843.410,111.375,430.107,24.668
576.433,1055.078,282.979,991.599,870.005,922.507,71.016,781.565,1032.368,632.237,19.643,506.752,1018.034,360.340,110.660,242.044,843.048,111.598,430.364,24.565
575.997,1055.106,283.293,991.802,869.401,921.988,70.939,781.377,1032.361,632.188,19.626,506.861,1019.204,361.455,110.323,242.076,843.568,111.614,429.912,24.459
575.876,1055.476,283.196,991.899,870.519,921.841,70.841,781.597,1032.049,631.878,19.628,506.596,1017.964,360.165,110.462,241.952,843.504,111.547,429.833,24.588
576.211,1054.988,283.058,991.823,870.429,921.846,70.917,781.286,1032.171,632.003,19.746,506.498,1018.074,360.545,110.221,241.949,843.416,111.457,429.926,24.658
576.343,1054.448,283.189,991.663,870.474,921.793,70.982,781.606,1032.143,631.983,19.671,506.984,1019.387,361.553,110.356,242.041,843.447,111.483,429.967,24.641
576.343,1055.069,283.297,991.762,869.884,921.009,71.022,781.482,1032.450,632.100,19.759,506.869,1018.154,360.524,110.554,241.833,843.455,111.549,430.053,24.429
576.452,1054.712,282.993,991.584,869.213,921.800,70.923,781.583,1032.293,632.276,19.757,506.935,1019.190,361.516,110.269,242.016,843.420,111.503,429.871,24.466
575.750,1055.401,283.016,991.794,869.913,922.617,70.810,781.815,1032.099,631.976,19.707,506.682,1019.118,361.409,110.523,241.762,843.413,111.419,429.959,24.734
576.540,1054.368,283.346,991.599,869.433,921.764,70.803,781.581,1032.367,632.047,19.760,506.805,1017.979,360.266,110.427,242.069,843.463,111.568,429.879,24.532
576.160,1055.015,283.198,991.751,870.115,922.688,70.988,781.810,1032.195,631.758,19.624,506.566,1018.242,360.464,110.665,241.826,843.486,111.440,429.895,24.409
575.844,1055.471,283.103,992.118,870.565,921.497,71.016,781.869,1032.236,631.978,19.261,506.267,1019.296,361.371,110.479,242.001,843.446,111.525,429.843,24.415
575.995,1055.116,282.902,991.691,869.816,920.931,70.834,781.673,1032.331,631.946,19.624,506.772,1018.964,361.468,110.258,241.914,843.272,111.500,430.281,24.601
576.019,1055.632,283.141,991.877,869.747,920.806,70.704,781.173,1032.399,631.829,19.619,506.796,1019.524,361.540,110.460,242.075,843.618,111.263,429.963,24.602
575.925,1054.914,283.196,992.088,869.921,922.470,70.796,781.327,1032.089,632.170,19.566,506.917,1018.102,360.402,110.459,241.959,843.609,111.632,429.946,24.496
576.138,1055.272,283.497,992.378,869.646,920.731,70.827,781.490,1032.375,632.093,19.254,506.219,1018.044,360.212,110.166,242.102,843.424,111.519,430.090,24.537
576.493,1054.859,283.276,992.037,870.502,921.930,70.740,781.601,1032.273,631.885,19.521,506.644,1019.531,361.680,110.407,241.937,843.487,111.491,429.994,24.398
576.344,1055.479,283.203,991.879,869.320,921.852,70.667,781.594,1032.179,632.080,19.726,506.611,1018.239,360.277,110.625,241.929,843.455,111.617,430.180,24.338
576.386,1054.941,283.065,991.733,870.513,921.561,70.819,781.469,1032.246,632.055,19.342,506.226,1018.938,361.211,110.254,241.860,843.339,111.690,429.909,24.592
576.015,1055.037,283.175,992.044,869.913,920.683,70.770,781.705,1032.175,632.046,19.207,506.473,1017.862,360.375,110.484,242.071,843.528,111.420,429.946,24.667
575.730,1055.631,283.203,992.049,870.057,922.581,70.931,781.618,1032.320,632.057,19.494,506.618,1019.134,361.853,110.441,241.824,843.374,111.556,430.264,24.547
576.325,1054.481,283.138,991.936,869.793,920.972,70.733,781.522,1032.342,632.079,19.644,506.730,1018.052,360.204,110.562,241.929,843.509,111.527,430.029,24.411
576.338,1054.998,283.158,991.860,870.025,922.591,70.921,781.391,1032.299,631.880,19.557,506.773,1018.144,360.088,110.425,241.802,843.598,111.346,429.839,24.445
576.347,1054.865,283.252,991.698,869.339,922.045,70.934,781.644,1032.353,631.847,19.223,506.287,1018.246,360.104,110.388,242.028,843.698,111.656,430.087,24.521
576.424,1055.062,283.150,991.980,869.428,921.811,71.059,781.545,1032.065,631.964,19.397,506.476,1017.915,360.343,110.449,242.089,843.498,111.514,429.882,24.405
576.236,1054.581,283.179,992.224,869.924,921.185,70.853,781.559,1032.117,631.944,19.305,506.104,1019.306,361.322,110.596,241.943,843.602,111.719,429.955,24.438
576.339,1055.124,282.983,991.895,869.723,920.952,70.889,781.643,1032.443,632.026,19.717,506.765,1018.047,360.135,110.319,242.080,843.560,111.742,429.859,24.496
576.398,1055.102,283.004,991.866,869.324,921.801,70.893,781.603,1032.102,631.812,19.806,506.698,1017.961,360.515,110.332,241.991,843.495,111.666,429.612,24.752
